"episode_id","annotation_id","behavior","start_time_sec","end_time_sec","start_frame","end_frame","duration_sec","annotation_source"
"IRON_007","ANN_001","initial_state","0.000","7.328","0","176","7.328","human_verified"
"IRON_007","ANN_002","approach","7.328","8.828","176","212","1.500","human_verified"
"IRON_007","ANN_003","position","8.828","9.828","212","236","1.000","human_verified"
"IRON_007","ANN_004","slip","8.828","9.028","212","217","0.200","human_verified"
"IRON_007","ANN_005","iron_stroke","12.578","44.139","302","1059","31.561","human_verified"
"IRON_007","ANN_006","slip","12.578","12.778","302","307","0.200","human_verified"
"IRON_007","ANN_007","slip","17.656","17.856","424","429","0.200","human_verified"
"IRON_007","ANN_008","slip","21.206","21.406","509","514","0.200","human_verified"
"IRON_007","ANN_009","slip","26.483","26.683","636","640","0.200","human_verified"
"IRON_007","ANN_010","slip","35.311","35.511","847","852","0.200","human_verified"
"IRON_007","ANN_011","slip","44.139","44.339","1059","1064","0.200","human_verified"
"IRON_007","ANN_012","release","44.139","45.139","1059","1083","1.000","human_verified"
"IRON_007","ANN_013","terminal_state","45.139","52.967","1083","1271","7.828","human_verified"
